,0
456,-70.0
457,-71.0
458,-77.0
459,-73.0
460,-55.0
461,-70.0
462,-46.0
463,-77.0
464,-69.0
465,-79.0
466,-79.0
467,-71.0
468,-75.0
469,-76.0
470,-79.0
471,-57.0
472,-77.0
473,-70.0
474,-68.0
475,-77.0
476,-73.0
477,-54.0
478,-69.0
479,-43.0
480,-77.0
481,-69.0
482,-78.0
483,-79.0
484,-72.0
485,-75.0
486,-76.0
487,-79.0
488,-58.0
489,-78.0
490,-70.0
491,-68.0
492,-77.0
493,-73.0
494,-54.0
495,-69.0
496,-44.0
497,-77.0
498,-69.0
499,-78.0
500,-79.0
501,-72.0
502,-75.0
503,-76.0
504,-79.0
505,-57.0
506,-78.0
507,-70.0
508,-68.0
509,-77.0
510,-73.0
511,-54.0
512,-71.0
513,-44.0
514,-77.0
515,-69.0
516,-74.0
517,-79.0
518,-70.0
519,-75.0
520,-76.0
521,-79.0
522,-57.0
523,-78.0
524,-70.0
525,-68.0
526,-77.0
527,-73.0
528,-53.0
529,-72.0
530,-44.0
531,-77.0
532,-69.0
533,-76.0
534,-79.0
535,-70.0
536,-75.0
537,-76.0
538,-79.0
539,-58.0
540,-78.0
541,-68.0
542,-68.0
543,-77.0
544,-73.0
545,-54.0
546,-71.0
547,-44.0
548,-77.0
549,-69.0
550,-79.0
551,-79.0
552,-72.0
553,-75.0
554,-76.0
555,-79.0
556,-58.0
557,-78.0
558,-68.0
559,-68.0
560,-77.0
561,-73.0
562,-54.0
563,-70.0
564,-43.0
565,-76.0
566,-69.0
567,-76.0
568,-79.0
569,-72.0
570,-75.0
571,-76.0
572,-79.0
573,-57.0
574,-79.0
575,-68.0
576,-68.0
577,-77.0
578,-73.0
579,-53.0
580,-70.0
581,-44.0
582,-76.0
583,-69.0
584,-75.0
585,-79.0
586,-72.0
587,-75.0
588,-76.0
589,-79.0
590,-58.0
591,-79.0
592,-68.0
593,-68.0
594,-77.0
595,-73.0
596,-53.0
597,-71.0
598,-44.0
599,-76.0
600,-68.0
601,-77.0
602,-79.0
603,-72.0
604,-75.0
605,-76.0
606,-79.0
607,-57.0
608,-79.0
609,-68.0
610,-68.0
611,-77.0
612,-73.0
613,-54.0
614,-71.0
615,-44.0
616,-75.0
617,-68.0
618,-76.0
619,-79.0
620,-72.0
621,-75.0
622,-76.0
623,-79.0
624,-57.0
625,-79.0
626,-68.0
627,-68.0
628,-77.0
629,-73.0
630,-54.0
631,-73.0
632,-44.0
633,-75.0
634,-68.0
635,-74.0
636,-79.0
637,-72.0
638,-73.0
639,-76.0
640,-79.0
641,-56.0
642,-79.0
643,-68.0
644,-68.0
645,-77.0
646,-73.0
647,-54.0
648,-73.0
649,-44.0
650,-74.0
651,-68.0
652,-75.0
653,-79.0
654,-72.0
655,-73.0
656,-76.0
657,-79.0
658,-56.0
659,-78.0
660,-68.0
661,-67.0
662,-77.0
663,-73.0
664,-54.0
665,-72.0
666,-44.0
667,-74.0
668,-68.0
669,-75.0
670,-79.0
671,-72.0
672,-73.0
673,-76.0
674,-79.0
675,-56.0
676,-79.0
677,-68.0
678,-67.0
679,-77.0
680,-73.0
681,-54.0
682,-72.0
683,-44.0
684,-74.0
685,-68.0
686,-74.0
687,-79.0
688,-72.0
689,-73.0
690,-76.0
691,-79.0
692,-57.0
693,-79.0
694,-79.0
695,-68.0
696,-67.0
697,-77.0
698,-73.0
699,-54.0
700,-72.0
701,-46.0
702,-75.0
703,-68.0
704,-76.0
705,-79.0
706,-73.0
707,-73.0
708,-76.0
709,-79.0
710,-57.0
711,-79.0
712,-79.0
713,-68.0
714,-68.0
715,-77.0
716,-73.0
717,-54.0
718,-72.0
719,-45.0
720,-75.0
721,-68.0
722,-75.0
723,-79.0
724,-73.0
725,-73.0
726,-76.0
727,-79.0
728,-58.0
729,-79.0
730,-79.0
731,-68.0
732,-67.0
733,-77.0
734,-73.0
735,-53.0
736,-72.0
737,-45.0
738,-75.0
739,-67.0
740,-74.0
741,-79.0
742,-73.0
743,-73.0
744,-76.0
745,-79.0
746,-56.0
747,-79.0
748,-79.0
749,-79.0
750,-68.0
751,-68.0
752,-73.0
753,-53.0
754,-73.0
755,-47.0
756,-75.0
757,-67.0
758,-74.0
759,-79.0
760,-73.0
761,-73.0
762,-76.0
763,-79.0
764,-56.0
765,-79.0
766,-79.0
767,-79.0
768,-68.0
769,-68.0
770,-73.0
771,-54.0
772,-73.0
773,-46.0
774,-75.0
775,-66.0
776,-74.0
777,-79.0
778,-73.0
779,-73.0
780,-76.0
781,-79.0
782,-56.0
783,-79.0
784,-79.0
785,-79.0
786,-68.0
787,-68.0
788,-73.0
789,-54.0
790,-72.0
791,-47.0
792,-71.0
793,-66.0
794,-75.0
